x,y
0.0,0.3197133992289419
0.01,0.5883891377184618
0.02,1.25800564631689
0.03,1.7170273799865334
0.04,2.375962136716704
0.05,2.6502514213222343
0.06,2.9571999430570193
0.07,2.6509697840374837
0.08,2.822571459218809
0.09,2.555838999879071
0.1,2.527183241466695
0.11,2.5198079517949137
0.12,2.1264990139787057
0.13,2.077357432677414
0.14,2.2032151160892037
0.15,2.0975839962920357
0.16,1.9328059818773708
0.17,2.1628955589000243
0.18,2.3588324985509037
0.19,2.0713323635194554
0.2,2.598915284652947
0.21,2.6727975034142073
0.22,2.609163889694899
0.23,2.610984067196639
0.24,3.0807723221192
0.25,2.8147438819630395
0.26,2.717515957778429
0.27,2.733018528774131
0.28,3.1209307582130643
0.29,3.0206791234617887
0.3,3.161242182710125
0.31,3.183089923923563
0.32,3.1681289448399617
0.33,3.483681183553847
0.34,3.287543137287767
0.35000000000000003,3.46376438948682
0.36,3.661602172099984
0.37,3.5655310648215712
0.38,3.628714845474816
0.39,3.346136617692755
0.4,3.1789551854249316
0.41000000000000003,2.5272937475824677
0.42,2.211479717660772
0.43,1.765676632233375
0.44,1.1364565964018516
0.45,0.6676731590859267
0.46,0.06545572915787828
0.47000000000000003,-0.34354497493865527
0.48,-0.5962417510287992
0.49,-1.0755694983428767
0.5,-1.3149095164415583
0.51,-1.5299751896180567
0.52,-1.532594463522271
0.53,-1.1384923701518048
0.54,-1.1531666159128202
0.55,-0.99825874751078
0.56,-1.0266173840689827
0.5700000000000001,-0.5691296999829405
0.58,-0.7112902178943328
0.59,-0.5208514932405199
0.6,-0.2052805711190714
0.61,-0.44708351350071623
0.62,-0.6309463683653798
0.63,-0.7752334503940819
0.64,-0.9547536565863428
0.65,-1.2783579366263542
0.66,-1.8531675683464477
0.67,-2.244666656747
0.68,-2.3712208916539654
0.6900000000000001,-2.6265644467650042
0.7000000000000001,-2.8431696299048257
0.71,-2.621228001825917
0.72,-2.7583561160964636
0.73,-3.1106889271302296
0.74,-2.9892980018338364
0.75,-3.1557374400629428
0.76,-2.928720789683549
0.77,-3.1900179643024202
0.78,-3.3222447896872014
0.79,-3.3644574070047
0.8,-3.229649371952802
0.81,-3.3792051273876145
0.8200000000000001,-3.182552049472356
0.8300000000000001,-2.9406659214998707
0.84,-3.0436816295848708
0.85,-2.9193283306806164
0.86,-2.2460377562077403
0.87,-2.141110010356148
0.88,-1.9485969003484627
0.89,-1.5338554430365385
0.9,-1.0540226945146176
0.91,-0.36029735886239966
0.92,0.11712818694736177
0.93,0.2639046017321829
0.9400000000000001,0.33412669617250706
0.9500000000000001,0.648609354614362
0.96,1.0136478967656182
0.97,0.7456912959473467
0.98,0.8540307745533161
0.99,0.6295304940485027
